% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
43.20%,Warner Bros.,,NADA,NADA,Month,29/08/2019,90,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,5,30,"4,108",25 / 788,25,Godzilla: King of the Monsters,Godzilla: King of the Monsters,31/05/2019,31/05/2019,"4,108",110000K,21,$110.5 Million,5,11,1,213299915,$170M,110500138,1,47776293,26003,25,110500138,$110.5M,383299915,$213M
0.50%,Universal Pictures,,NADA,NADA,Month,,NA,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,12,4,11,26 / 788,26,1917,1917,25/12/2019,25/12/2019,"3,987",100000K,21,$109.6 Million,12,11,1,149579656,$100M,109586389,1,576216,56942,26,109586389,$109.6M,249579656,$150M
18.80%,STX Entertainment,,NADA,NADA,Month,02/05/2019,112,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,1,10,"3,080",27 / 788,27,The Upside,The Upside,10/01/2019,10/01/2019,"3,568",100000K,21,$108.3 Million,1,11,1,88318440,$38M,108252517,1,20355000,73121,27,108252517,$108.3M,125818440,$88M
32.20%,Warner Bros.,,NADA,NADA,Month,09/05/2019,91,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,2,33,"4,303",28 / 788,28,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,07/02/2019,07/02/2019,"4,303",100000K,21,$105.8 Million,2,11,1,91131036,$99M,105806508,1,34115335,79284,28,105806508,$105.8M,190131036,$91M
31.60%,STX Entertainment,,NADA,NADA,Month,08/01/2019,-248,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,9,8,"3,250",29 / 788,29,Hustlers,Hustlers,13/09/2019,13/09/2019,"3,525",100000K,21,$105.0 Million,9,11,1,129786767,$21M,104963598,1,33181361,12009,29,104963598,$105.0M,150486767,$130M
31.20%,United Artists Releasing,,NADA,NADA,Month,,NA,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,10,17,"4,007",30 / 788,30,The Addams Family,The Addams Family,11/10/2019,11/10/2019,"4,107",90000K,21,$97.2 Million,10,11,1,176097076,$24M,97185807,1,30300007,38039,30,97185807,$97.2M,200097076,$176M
32%,Focus Features,,NADA,NADA,Month,,NA,Focus Features,Focus Features,Focus Features,Focus Features,9,13,"3,079",31 / 788,31,Downton Abbey,Downton Abbey,20/09/2019,20/09/2019,"3,548",90000K,21,$96.9 Million,9,11,1,0,,96854135,1,31033665,67741,31,96854135,$96.9M,,$0M
26.70%,Paramount Pictures,,NADA,NADA,Month,05/09/2019,97,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,5,9,"3,610",32 / 788,32,Rocketman,Rocketman,31/05/2019,31/05/2019,"3,610",90000K,21,$96.4 Million,5,11,1,148014290,$41M,96368160,1,25725722,52312,32,96368160,$96.4M,189014290,$148M
17.50%,Sony Pictures Releasing,,NADA,NADA,Month,,NA,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,12,12,"3,308",33 / 788,33,Little Women,Little Women,25/12/2019,25/12/2019,"3,308",90000K,21,$95.8 Million,12,11,1,121583473,$42M,95755632,1,16755310,7726,33,95755632,$95.8M,163583473,$122M
33.30%,Twentieth Century Fox,,NADA,NADA,Month,09/05/2019,85,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,2,19,"3,790",34 / 788,34,Alita: Battle Angel,Alita: Battle Angel,13/02/2019,13/02/2019,"3,802",80000K,21,$85.7 Million,2,11,1,232971268,$170M,85710210,1,28525613,50752,34,85710210,$85.7M,402971268,$233M
25.80%,Universal Pictures,,NADA,NADA,Month,01/11/2019,77,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,8,9,"3,204",35 / 788,35,Good Boys,Good Boys,16/08/2019,16/08/2019,"3,458",80000K,21,$83.1 Million,8,11,1,0,,83083070,1,21402605,97545,35,83083070,$83.1M,,$0M
37.50%,Sony Pictures Releasing,,NADA,NADA,Month,06/10/2019,114,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,6,27,"4,224",36 / 788,36,Men in Black: International,Men in Black: International,14/06/2019,14/06/2019,"4,224",80000K,21,$80.0 Million,6,11,1,142994560,$110M,80001807,1,30035838,35638,36,80001807,$80.0M,252994560,$143M
27.30%,Warner Bros.,,NADA,NADA,Month,03/10/2019,99,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,6,20,"3,613",37 / 788,37,Annabelle Comes Home,Annabelle Comes Home,26/06/2019,26/06/2019,"3,613",70000K,21,$74.2 Million,6,11,1,0,,74152591,1,20269723,55762,37,74152591,$74.2M,,$0M
23.20%,Universal Pictures,,NADA,NADA,Month,05/09/2019,69,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,6,9,"2,603",38 / 788,38,Yesterday,Yesterday,28/06/2019,28/06/2019,"2,755",70000K,21,$73.3 Million,6,11,1,0,,73286650,1,17010050,42529,38,73286650,$73.3M,,$0M
36.90%,Lionsgate,,NADA,NADA,Month,16/05/2019,76,Lionsgate,Lionsgate,Lionsgate,Lionsgate,3,22,"2,442",39 / 788,39,A Madea Family Funeral,A Madea Family Funeral,01/03/2019,01/03/2019,"2,442",70000K,21,$73.3 Million,3,11,1,0,,73257045,1,27062332,68352,39,73257045,$73.3M,,$0M
36.70%,Sony Pictures Releasing,,NADA,NADA,Month,22/01/2019,-269,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,10,22,"3,468",40 / 788,40,Zombieland: Double Tap,Zombieland: Double Tap,18/10/2019,18/10/2019,"3,468",70000K,21,$73.1 Million,10,11,1,73789554,$48M,73123082,1,26803104,5949,40,73123082,$73.1M,121789554,$74M
31%,Lionsgate,,NADA,NADA,Month,31/10/2019,69,Lionsgate,Lionsgate,Lionsgate,Lionsgate,8,16,"3,286",41 / 788,41,Angel Has Fallen,Angel Has Fallen,23/08/2019,23/08/2019,"3,336",60000K,21,$69.0 Million,8,11,1,0,,69030436,1,21380987,66314,41,69030436,$69.0M,,$0M
30.30%,Lionsgate,,NADA,NADA,Month,,NA,Lionsgate,Lionsgate,Lionsgate,Lionsgate,8,33,"3,135",42 / 788,42,Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark,09/08/2019,09/08/2019,"3,135",60000K,21,$68.9 Million,8,11,1,0,,68947075,1,20915346,79203,42,68947075,$68.9M,,$0M
49.90%,Twentieth Century Fox,,NADA,NADA,Month,15/08/2019,69,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,6,19,"3,721",43 / 788,43,X-Men: Dark Phoenix,X-Men: Dark Phoenix,07/06/2019,07/06/2019,"3,721",60000K,21,$65.8 Million,6,11,1,46356895,$200M,65845974,1,32828348,55723,43,65845974,$65.8M,246356895,$46M
21.40%,Twentieth Century Fox,,NADA,NADA,Month,,NA,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,12,17,"3,502",44 / 788,44,Spies in Disguise,Spies in Disguise,25/12/2019,25/12/2019,"3,502",60000K,21,$62.4 Million,12,11,1,0,,62410126,1,13354798,29907,44,62410126,$62.4M,,$0M
46.60%,Paramount Pictures,,NADA,NADA,Month,26/12/2019,55,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,11,21,"4,086",45 / 788,45,Terminator: Dark Fate,Terminator: Dark Fate,01/11/2019,01/11/2019,"4,086",60000K,21,$62.3 Million,11,11,1,65904475,$185M,62253077,1,29033832,78098,45,62253077,$62.3M,250904475,$66M
21.70%,Sony Pictures Releasing,,NADA,NADA,Month,,NA,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,11,35,"3,235",46 / 788,46,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,22/11/2019,22/11/2019,"3,491",60000K,21,$61.0 Million,11,11,1,19061999,$45M,61026514,1,13251238,17913,46,61026514,$61.0M,64061999,$19M
33.90%,Universal Pictures,,NADA,NADA,Month,01/01/2019,-269,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,9,10,"4,242",47 / 788,47,Abominable,Abominable,27/09/2019,27/09/2019,"4,248",60000K,21,$60.7 Million,9,11,1,0,,60716390,1,20612100,29430,47,60716390,$60.7M,,$0M
28.80%,Paramount Pictures,,NADA,NADA,Month,,NA,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,8,30,"3,735",48 / 788,48,Dora and the Lost City of Gold,Dora and the Lost City of Gold,09/08/2019,09/08/2019,"3,735",60000K,21,$60.5 Million,8,11,1,68637977,$49M,60477943,1,17431588,17912,48,60477943,$60.5M,117637977,$69M
32%,Sony Pictures Releasing,,NADA,NADA,Month,25/04/2019,112,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,1,11,"2,717",49 / 788,49,Escape Room,Escape Room,03/01/2019,03/01/2019,"2,717",50000K,21,$57.0 Million,1,11,1,0,,57005601,1,18238172,27202,49,57005601,$57.0M,,$0M
